Год,Всего тыс. человек,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70 и старше,Средний возраст лет
2013,75616,686,6972,10779,9927,9508,8634,9173,9914,6553,2606,690,174,"40,0"
2014,75582,578,6387,10983,10204,9564,8905,8779,9917,6678,2731,717,139,"40,2"
2015,76762,611,5871,11197,10615,9896,9177,8618,9891,7029,2923,810,124,"40,3"
2016,76933,612,5411,11217,10925,10050,9430,8515,9624,7156,3017,848,127,"40,4"
2017,76659,540,4779,11103,11081,10324,9565,8611,9148,7291,3011,946,261,"40,7"
2018,76630,521,4419,10557,11461,10451,9757,8706,8748,7483,3200,1025,302,"40,9"
2019,75880,474,4257,9756,11575,10619,9755,8870,8334,7458,3310,1140,334,"41,1"
2020,75466,467,4134,8882,11481,10866,9947,9018,8095,7555,3556,1146,319,"41,3"
2021,75969,465,4107,8184,11582,11187,10173,9249,8097,7637,3840,1138,308,"41,6"
2022,75632,415,3817,7479,11390,11358,10496,9405,8268,7497,4091,1133,284,"41,9"
2023,76037,506,3796,7152,10873,11763,10580,9648,8388,7454,4440,1158,279,"42,1"
